,Song Name,Matched Name,Ratio Value,Song List Index
951,mockingbird,mockin bird hill,74,5132
952,help me,help me,100,11227
953,you wont see me,you dont love me,77,14999
954,never never gonna give you up,never gonna give you up,88,790
955,tell me something good,something good,78,7214
956,you and me against the world,you and me just started,67,9257
957,rock and roll heaven,rock and roll all nite,76,417
958,hollywood swinging,hollywood sky,71,4801
959,be thankful for what you got,this aint what you want,59,3473
960,hang on in there baby,a shot in the arm,63,3001
961,eres tu,eres tu,100,12139
962,takin care of business,mind your own business,68,2806
963,radar love,mad love,78,10183
964,please come to boston,please mr postman,68,2085
965,keep on smilin,keep on walking,76,1184
966,lookin for a love,all for love,69,11897
967,put your hands together,put it together,68,8281
968,on and on,off and on,84,3571
969,oh very young,forever young,77,2287
970,leave me alone ruby red dress,leave me alone,65,1243
971,goodbye yellow brick road,yellow bird,61,1531
972,ive been searchin so long,wine women and song,59,5033
973,oh my my,oh my my,100,9996
974,for the love of money,for the lonely ones,75,15001
975,i shot the sheriff,a shot in the arm,63,3001
976,jet,et,80,3658
977,dont let the sun go down on me,dont let it get you down,67,16250
978,tubular bells,black beatles,62,8638
979,a love song,love song,90,157
980,im leaving it up to you,i’ll make it up to you,76,9708
981,hello its me,hello bitches,72,13854
982,i love,i love,100,5302
983,clap for the wolfman,bad for the soul,67,12372
984,ill have to say i love you in a song,hate to say i told you so,69,18037
985,the lords prayer,the blowers daughter,67,1597
986,trying to hold on to my woman,something to hold on to,69,3325
987,dont you worry bout a thing,dont you forget about me,67,726
988,a very special love song,a shitty love song,67,15253
989,my girl bill,my girl,74,2045
990,helen wheels,the feels,67,10821
991,my mistake was to love you,ready to love you,65,8395
992,wildwood weed,wild wild west,67,9126
993,beach baby,easy baby,74,10945
994,me and baby brother,hey brother,67,16104
995,rockin roll baby,rockin robin,71,1981
996,i honestly love you,she dont love you,72,4947
997,call on me,call on me,100,17962
998,wild thing,wild thing,100,334
999,mighty love,mighty river,78,11538
1000,love will keep us together,hold us together,67,9982
1001,rhinestone cowboy,rhinestone cowboy,100,5242
1002,philadelphia freedom,millidelphia feat swizz beatz,53,7507
1003,before the next teardrop falls,before the next teardrop falls,100,5278
1004,my eyes adored you,eyes on you,69,8884
1005,shining star,shining,74,8630
1006,fame,fame,100,15976
1007,laughter in the rain,caught in the rain,89,14053
1008,one of these nights,soul of the night,78,6797
1009,thank god im a country boy,thank god im not you,74,18010
1010,jive talkin,love train,67,3837
1011,best of my love,best of my love,100,3827
1012,lovin you,loving you,95,11683
1013,kung fu fighting,kung fu fighting,100,2164
1014,black water,black cat,80,14161
1015,the ballroom blitz,ballroom blitz,88,484
1016,hey wont you play another somebody done somebody wrong song,why dont you love me  single version,55,5052
1017,he dont love you like i love you,love you like a love song,74,6659
1018,at seventeen,seventeen,86,520
1019,pick up the pieces,pick up the phone,80,8007
1020,the hustle,hustle,75,4517
1021,lady marmalade,lady marmalade,100,2159
1022,why cant we be friends,why cant we be friends,100,8572
1023,love wont let me wait,love it if we made it,67,14902
1024,boogie on reggae woman,ive got a woman,65,1979
1025,wasted days and wasted nights,all day and all of the night,67,2679
1026,fight the power,fight the power,100,882
1027,angie baby,jungle baby,76,14356
1028,jackie blue,jackie chan,64,5596
1029,fire,fire,100,2701
1030,magic,magic,100,1829
1031,please mr postman,please mr postman,100,2085
1032,sister golden hair,sister of pearl,67,6758
1033,lucy in the sky with diamonds,stuck in the middle with you,60,8522
1034,mandy,manya,80,1675
1035,have you never been mellow,have you ever seen the rain,72,2135
1036,could it be magic,could this be magic,89,5875
1037,cats in the cradle,caught in the rain,72,14053
1038,wildfire,wildfire,100,8347
1039,im not lisa,im not asking,67,5824
1040,listen to what the man said,listen to the music,74,2161
1041,im not in love,im in love,83,9267
1042,i can help,i can help,100,5276
1043,fallin in love,fall in love,92,17679
1044,feelings,feeling ok,78,6807
1045,chevy van,hey ma,67,7404
1046,when will i be loved,she will be loved,86,1906
1047,youre the first the last my everything,youre the first the last my everything,100,2225
1048,please mr please,please mr postman,73,2085
1049,youre no good,youre gold,78,15460
1050,dynomite,dynamite,88,18090
1051,walking in rhythm,walking in my shoes,72,8430
1052,the way we weretry to remember,a crime to remember,65,8429
1053,midnight blue,midnight blue,100,3561
1054,dont call us well call you,long tall sally,59,1980
1055,poetry man,money man,74,17187
1056,how long,how long gone,76,5480
1057,express,empress,86,8299
1058,thats the way of the world,the end of the world,74,5175
1059,lady,lady,100,6712
1060,bad time,hard time,82,16351
1061,only women bleed,only one,67,13149
1062,doctors orders,doctor my eyes,64,499
1063,get down tonight,get down saturday night,77,9239
1064,you are so beautiful,you are so beautiful,100,410
1065,one man womanone woman man,my woman my woman my wife,59,5283
1066,feel like makin love,feel like makin love,100,16090
1067,how sweet it is to be loved by you,how sweet it is to be loved by you,100,6878
1068,dance with me,dance with me,100,9476
1069,cut the cake,cut the cord,75,14826
1070,never can say goodbye,dont say goodbye,70,17340
1071,i dont like to sleep alone,dont talk to me about love,65,2934
1072,morning side of the mountain,coming down the mountain,77,4914
1073,some kind of wonderful,some kind of drug,82,2476
1074,when will i see you again,when i see you smile,71,622
1075,get down get down get on the floor,i bet you look good on the dancefloor,59,48
1076,im sorry,im sorry,100,13130
1077,killer queen,killer whales,64,13836
1078,shoeshine boy,chattanoogie shoe shine boy,65,5018
1079,do it til youre satisfied,do it like you do,62,9640
1080,cant get it out of my head,cant get you out of my head,91,1946
1081,shalala make me happy,call me maybe,59,8058
1082,lonely people,lonely press play,73,9494
1083,you got the love,youve got the love,94,1959
1084,the rockford files,the bloodiest,65,12776
1085,it only takes a minute,only the rated,61,7906
1086,no no song,not too soon,73,3024
1087,juniors farm,no fear,63,13416
1088,bungle in the jungle,welcome to the jungle,68,530
1089,long tall glasses,long tall sally,69,1980
1090,someone saved my life tonight,need you tonight,62,674
1091,misty,misty,100,5295
1092,bad blood,bad boy,75,6681
1093,only yesterday,yesterday,78,4485
1094,im on fire,im on fire,100,361
1095,only you and you alone,youre not alone,65,3279
1096,third rate romance,drunk text romance,67,15278
1097,you aint seen nothing yet,you aint seen nothing yet,100,466
1098,swearin to god,far too good,69,18758
1099,get dancin,all night dancin,69,3861
1100,silly love songs,a shitty love song,76,15253
1101,dont go breaking my heart,dont go breaking my heart,100,2137
1102,disco lady,scotland,67,9538
1103,december 1963 oh what a night,december 1963 oh what a night,100,8490
1104,play that funky music,lay it on me  acoustic,60,1479
1105,kiss and say goodbye,dont say goodbye,72,17340
1106,love machine,broken machine,77,18272
1107,50 ways to leave your lover,my love is your love,64,2383
1108,love is alive,love is alive,100,5378
1109,a fifth of beethoven,all out of love,57,613
1110,sara smile,ahora dile,70,16589
1111,afternoon delight,after midnight,71,13342
1112,i write the songs,rewrite the stars,71,13721
1113,fly robin fly,if only,60,3088
1114,love hangover,leg over,67,1729
1115,get closer,get louder,80,6203
1116,more more more,one more time,74,5708
1117,bohemian rhapsody,bohemian rhapsody  remastered 2011,67,412
1118,misty blue,midnight blue,70,3561
1119,boogie fever,teenage fever,64,2452
1120,id really love to see you tonight,i really like you,60,6918
1121,you sexy thing,you sexy thing,100,6823
1122,love hurts,love hurts,100,10711
1123,get up and boogie,get up and move on,74,12527
1124,take it to the limit,take me to the top,74,9270
1125,shake shake shake shake your booty,shake shake shake,67,18577
1126,sweet love,this sweet love,80,8340
1127,right back where we started from,where we start,61,9551
1128,theme from swat,the rat,64,2546
1129,love rollercoaster,love letter,69,14751
1130,you should be dancing,you could be mine,74,4006
1131,youll never find another love like mine,you never even called me by my name,57,5264
1132,golden years,golden skans,75,2498
1133,moonlight feels right,light flight,73,2744
1134,only sixteen,sixteen,74,8857
1135,let your love flow,let your love flow,100,2185
1136,dream weaver,dream lover,78,1983
1137,turn the beat around,turn it around,76,14711
1138,lonely night angel face,one night only,65,10912
1139,all by myself,all to myself,85,11976
1140,love to love you baby,born to love you,70,8862
1141,deep purple,deep green,67,5802
1142,theme from mahogany do you know where youre going to,thats what you do when youre in love,59,5359
1143,sweet thing,sweetest thing,88,8346
1144,thats the way i like it,thats what i like,75,11367
1145,a little bit more,a little more,87,4715
1146,shannon,hangin on,75,8866
1147,if you leave me now,leave me now,77,5570
1148,lowdown,london,77,8043
1149,show me the way live,show me the way,86,4022
1150,dream on,dream on,100,425
1151,i love music,i love it,76,4272
1152,say you love me,do you love me,83,6861
1153,times of your life,time of our lives,86,4676
1154,devil woman,devil woman,100,5215
1155,fooled around and fell in love,dont wanna fall in love,68,18105
1156,convoy,cowboy,67,12436
1157,welcome back,when god comes back,71,16420
1158,sing a song,snake song,76,16356
1159,heaven must be missing an angel,heavens just a sin away,67,5246
1160,ill be good to you,ill be there for you,68,17270
1161,rock and roll music,rock and roll all nite,73,417
1162,shop around,shop around,100,310
1163,saturday night,saturday night,100,8187
1164,island girl,island,71,118
1165,lets do it again,do it again,81,11680
1166,let em in,let me in,89,18612
1167,baby face,baby please,70,3553
1168,this masquerade,this masquerade,100,16047
1169,evil woman,devil woman,95,5215
1170,wham bam,what a bam bam,73,14577
1171,im easy,easy,73,390
1172,wake up everybody,wake up everybody,100,3756
1173,summer,summer,100,3174
1174,let her in,let me in,84,18612
1175,fox on the run,on the run,83,1537
1176,rhiannon,hangin on,71,8866
1177,got to get you into my life,for once in my life,65,2086
1178,fanny be tender with my love,wanna be with you,62,4532
1179,getaway,get away,93,9434
1180,shes gone,the one,75,9369
1181,still the one,till the end,80,5241
1182,youre my best friend,best friend,71,2470
1183,with your love,it’s your move,79,4927
1184,slow ride,low tide,82,18407
1185,whod she coo,old school,64,18437
1186,the boys are back in town,the boys are back in town,100,451
1187,walk away from love,falling away from me,72,50
1188,baby i love your way live,baby i love your way,89,404
1189,young hearts run free,our hearts are wrong,63,18596
1190,breaking up is hard to do,break up in the end,64,8850
1191,money honey,mony mony,80,6394
1192,give up the funk tear the roof off the sucker,the keeper of the stars,53,5495
1193,junk food junkie,run of good luck,62,4919
1194,tryin to get the feeling again,got the feeling,62,12514
1195,rock and roll all nite live,rock and roll all nite,90,417
1196,disco duck,disco azúcar,64,15413
1197,take the money and run,take the money and run,100,3956
1198,squeeze box,que bello,60,5647
1199,country boy you got your feet in la,cant get you out of my head,55,1946
1200,tonights the night gonna be alright,tonight is the night,65,17874
1201,i just want to be your everything,you to me are everything,67,1186
1202,best of my love,best of my love,100,3827
1203,evergreen love theme from a star is born,never be the same feat kane brown,58,12423
1204,angel in your arms,in your arms,80,6144
1205,i like dreamin,i like it,70,86
1206,dont leave me this way,dont believe the hype,65,844
1207,your love has lifted me higher and higher,your love keeps lifting me higher  higher,83,2046
1208,undercover angel,undercover,77,15554
1209,torn between two lovers,teen lovers,65,9470
1210,im your boogie man,in your room,67,12731
1211,dancing queen,dancing queen,100,2163
1212,you make me feel like dancing,you make me feel like dancing  remastered,83,2215
1213,margaritaville,magic tide,58,6762
1214,telephone line,telephone,78,10135
1215,whatcha gonna do,whats going on,67,2222
1216,do you wanna make love,do you wanna party,70,1217
1217,sir duke,sir duke,100,6845
1218,hotel california,california,77,384
1219,got to give it up,got to give it up part 1,83,6844
1220,gonna fly now,one flow,67,8039
1221,southern nights,the nights,80,8167
1222,rich girl,rich girl,100,14725
1223,when i need you,who needs you,79,9417
1224,hot line,hold the line,76,2138
1225,car wash,crash,77,2864
1226,you dont have to be a star to be in my show,i dont want to be  stripped version,56,1582
1227,fly like an eagle,feel like makin love,70,16090
1228,dont give up on us,dont give up,80,6221
1229,on and on,off and on,84,3571
1230,feels like the first time,for the first time,74,176
1231,couldnt get it right,til i get it right,74,5247
1232,easy,easy,100,390
1233,right time of the night,in the still of the night,75,5843
1234,ive got love on my mind,gentle on my mind,75,18833
1235,blinded by the light,blinded by the light,100,439
1236,looks like we made it,love it if we made it,71,14902
1237,so in to you,sing to you,87,18453
1238,dreams,dreams,100,1190
1239,enjoy yourself,show yourself,74,8446
1240,dazz,dna,57,3674
1241,im in you,im missing you,78,4400
1242,lucille,lucifer,71,9316
1243,the things we do for love,the tunnel of love,70,2901
1244,da doo ron ron,a room of her own,65,6790
1245,handy man,candy man,89,9231
1246,just a song before i go,just aint gonna work out,60,14717
1247,you and me,you and me,100,1589
1248,swayin to the music slow dancing,alguien canto  the music played,60,4235
1249,lonely boy,lonely boy,100,6302
1250,i wish,i wish,100,2381
1251,dont stop,dont stop,100,2226
1252,barracuda,barracuda,100,483
1253,strawberry letter 23,strawberry letter 23,100,2223
1254,night moves,night moves,100,8520
1255,youre my world,youre gold,75,15460
1256,heard it in a love song,ah its a love song,78,17887
1257,carry on wayward son,carry on wayward son,100,489
1258,new kid in town,london town,62,13871
1259,my heart belongs to me,you belong to me,74,5854
1260,after the lovin,after the tone,83,11031
1261,jet airliner,sweet caroline,69,1793
1262,stand tall,stand still,86,5998
1263,way down,long way down,76,6326
1264,weekend in new england,a new england,69,2860
1265,it was almost like a song,i was just leaving,65,18770
1266,smoke from a distant fire,waves from a distance,70,4171
1267,cold as ice,cold as stone,75,15202
1268,ariel,maribel,83,16907
1269,lost without your love,lost without you,84,3254
1270,star wars themecantina band,the heart wants what it wants,54,14001
1271,float on,float on,100,2518
1272,jeans on,lean on,80,6994
1273,lido shuffle,indigo puff,61,18608
1274,keep it comin love,keep it close,77,15007
1275,you made me believe in magic,do you believe in magic,78,296
1276,livin thing,livin thing,100,510
1277,give a little bit,give a little bit,100,498
1278,thats rock n roll,rock  roll,74,6053
1279,love so right,love me right,85,3195
1280,the rubberband man,the rubberband man,100,6880
1281,i never cry,never ever,67,12289
1282,nobody does it better,nobody does it better,100,12214
1283,high school dance,solo dance,67,18391
1284,loves grown deep,love on me,69,11922
1285,aint gonna bump no more with no big fat woman,stand up for something feat common,56,3718
1286,i wanna get next to you,i wanna get better,73,9664
1287,somebody to love,somebody to love,100,293
1288,muskrat love,mad love,70,10183
1289,walk this way,walk this way,100,452
1290,cherchez la femme,chelcheleh,59,13284
1291,year of the cat,leaf off  the cave,73,3198
1292,boogie nights,some nights,75,8487
1293,go your own way,go your own way,100,2151
1294,sorry seems to be the hardest word,scatter my ashes along the coast or dont,57,14147
1295,dont worry baby,dont worry be happy,82,8508
1296,knowing me knowing you,holding her and loving you,67,5421
1297,how much love,show me love,80,15157
1298,star wars main title,estar sin ti,69,10180
1299,devils gun,devil,67,1634
1300,shadow dancing,shadow wind,72,8328
1301,night fever,night moves,73,8520
1302,you light up my life,light my fire,67,274
1303,stayin alive,stay alive,91,9532
1304,kiss you all over,miss you all the time,68,13581
1305,how deep is your love,how deep is your love,100,13160
1306,baby come back,baby got back,81,879
1307,love is thicker than water,love is like a heat wave,72,8245
1308,boogie oogie oogie,boot scootin boogie,70,5473
1309,three times a lady,the games we play,69,7334
1310,grease,release,77,11541
1311,i go crazy,i go crazy,100,13778
1312,youre the one that i want,youre the one that i want  from “grease”,78,8567
1313,emotion,emotion,100,4315
1314,lay down sally,let me down slowly,69,6490
1315,miss you,i miss you,89,16
1316,just the way you are,just the way you are,100,1936
1317,with a little luck,just a little crush,65,8928
1318,if i cant have you,if i didnt have you,86,5462
1319,dance dance dance yowsah yowsah yowsah,i wanna dance with somebody who loves me,49,770
1320,feels so good,feels so good,100,17182
1321,hot child in the city,blood in the cut,65,16839
1322,love is like oxygen,love is blind,69,2637
1323,its a heartache,its a heartache,100,2147
1324,we will rock youwe are the champions,we will rock you  remastered,66,455
1325,baker street,backstreets,78,482
1326,cant smile without you,cant do without you,83,2582
1327,too much too little too late,too much time together,68,6733
1328,dance with me,dance with me,100,9476
1329,two out of three aint bad,youth of the nation,64,45
1330,jack and jill,jackie and wilson,73,8324
1331,take a chance on me,take on me,69,636
1332,sometimes when we touch,every time we touch,67,1897
1333,last dance,last chance,86,4417
1334,hopelessly devoted to you,hell have to go,60,2037
1335,hot blooded,hot blood,90,6285
1336,youre in my heart the final acclaim,your cheatin heart  single version,58,5114
1337,the closer i get to you,close to you,69,2416
1338,dust in the wind,dust in the wind,100,356
1339,magnet and steel,hide and seek,62,17912
1340,short people,24 hour party people,69,2930
1341,use ta be my girl,steal my girl,73,1443
1342,our love,your love,94,791
1343,love will find a way,find a way,67,7718
1344,an everlasting love,everlasting love,91,2103
1345,love is in the air,groove is in the heart,80,2408
1346,goodbye girl,good girl,86,8842
1347,slip slidin away,slippin away,79,5301
1348,the groove line,the good life,79,16816
1349,thunder island,thunder road,77,16979
1350,imaginary lover,im in love,72,9267
1351,still the same,all the same,85,6719
1352,my angel baby,my angel,76,4382
1353,disco inferno,mambo infierno,67,11267
1354,on broadway,open road,70,1821
1355,come sail away,come sail away,100,497
1356,every time i turn around back in love again,every time the sun comes up,57,2645
1357,this time im in it for love,hate it or love it,62,7756
1358,you belong to me,you belong to me,100,5854
1359,here you come again,here it goes again,76,13843
1360,blue bayou,blue bayou,100,411
1361,peg,ego,67,11419
1362,you needed me,you and me,78,1589
1363,shame,shame,100,2619
1364,reminiscing,reminisce,80,11180
1365,count on me,lost on me,76,9422
1366,baby hold on,baby hold on,100,476
1367,hey deanie,when you dance,67,5852
1368,summer nights,summer nights,100,4363
1369,whats your name,what you need,79,7227
1370,dont it make my brown eyes blue,dont it make my brown eyes blue  2001 digital remaster,73,5236
1371,because the night,because the night,100,6023
1372,every kinda people,everyday people,85,823
1373,copacabana,jacaranda,63,3890
1374,always and forever,last forever,73,5917
1375,you and i,you and i,100,5432
1376,serpentine fire,set on fire,69,8318
1377,sentimental lady,sentimental,81,4159
1378,falling,falling,100,1540
1379,dont let me be misunderstood,dont let me be misunderstood,100,2109
1380,bluer than blue,larger than life,71,16777
1381,running on empty,running on empty,100,461
1382,whenever i call you friend,when i call em,65,11446
1383,fool if you think its over,do you think about me,64,15146
1384,get off,better off,71,4711
1385,sweet talkin woman,sweet talker,67,13980
1386,lifes been good,lifes been good,100,507
1387,i love the nightlife,live the night,76,15625
1388,you cant turn me off in the middle of turning me on,dont you ever get tired of hurting me,55,5164
1389,its so easy,its so easy,100,4002
1390,native new yorker,still new york,71,11496
1391,flash light,last night,76,4786
1392,dont look back,dont look back in anger,76,2341
1393,turn to stone,turn me on,70,6971
1394,i cant stand the rain,i cant stand it,78,6750
1395,ebony eyes,ocean eyes,70,5885
1396,the name of the game,more of the same,72,6764
1397,were all alone,breach walk alone,71,4279
1398,hollywood nights,hollywood sky,76,4801
1399,deacon blues,deacon blues,100,505
1400,my sharona,my sharona,100,474
1401,bad girls,bad girls,100,2638
1402,le freak,le freak,100,2170
1403,da ya think im sexy,do you think about me,60,15146
1404,reunited,reunite,93,3201
1405,i will survive,i will survive,100,15942
1406,hot stuff,hot stuff,100,2193
1407,ymca,lyca,75,13888
1408,ring my bell,ring my bell,100,12974
1409,sad eyes,red eyes,75,2576
1410,too much heaven,too much sauce,76,8663
1411,macarthur park,central park,62,4798
1412,when youre in love with a beautiful woman,im in love with a german film star,59,2912
1413,makin it,faking it,82,7181
1414,fire,fire,100,2701
1415,tragedy,greek tragedy,70,6462
1416,a little more love,a little more,84,4715
1417,heart of glass,heart of gold,81,362
1418,what a fool believes,what a fool believes  live,87,16010
1419,good times,good times,100,4719
1420,you dont bring me flowers,you dont know,63,16939
1421,knock on wood,knock on wood,100,6871
1422,stumblin in,stumblin home,75,9626
1423,lead me on,had me goin,76,14748
1424,shake your body down to the ground,shake your body down to the ground  single edit,84,838
1425,dont cry out loud,dont you know,67,9993
1426,the logical song,the lotion song,77,3079
1427,my life,my life,100,7741
1428,just when i needed you most,just what i needed,71,445
1429,you cant change that,you cant change me,84,12626
1430,shake your groove thing,shake your bonbon,70,17347
1431,ill never love this way again,ill never love,65,3308
1432,love you inside out,love runs out,75,16147
1433,i want you to want me,i want you to want me,100,437
1434,the main eventfight,the kids arent alright,63,1103
1435,mama cant buy you love,i cant make you love me,67,1401
1436,i was made for dancin,i was made for lovin you,76,602
1437,after the love has gone,after the tone,70,11031
1438,heaven knows,heaven knows,100,10584
1439,the gambler,the gambler,100,5296
1440,lotta love,whole lotta love,77,253
1441,lady,lady,100,6712
1442,heaven must have sent you,heavens just a sin away,71,5246
1443,hold the line,hold the line,100,2138
1444,hes the greatest dancer,the greatest,69,2557
1445,sharing the night together,when the night is over,67,16212
1446,she believes in me,i believe in love,74,16012
1447,in the navy,in the end,76,1
1448,music box dancer,cosmic dancer,69,6064
1449,the devil went down to georgia,the devil went down to georgia,100,5317
1450,gold,gold,100,3148
1451,goodnight tonight,tonight tonight,88,15009
1452,we are family,we are family,100,15945
1453,rock n roll fantasy,rock and roll all nite,73,417
1454,every 1s a winner,everyday is a winding road,70,1194
1455,take me home,take me home,100,10878
1456,boogie wonderland,boogie wonderland,100,2169
1457,our love dont throw it all away,your love could start a war,66,14819
1458,what you wont do for love,what you dont do,73,14681
1459,new york groove,in your room,67,12731
1460,sultans of swing,sultans of swing,100,462
1461,i want your love,high on your love,79,13444
1462,chuck es in love,youre in love,69,537
1463,i love the nightlife,live the night,76,15625
1464,aint no stoppin us now,aint no halfsteppin,68,9108
1465,lonesome loser,one step closer,76,3422
1466,renegade,renegade,100,9309
1467,love is the answer,love is the drug,76,6044
1468,got to be real,got to my head,71,9693
1469,born to be alive,born to lose,71,2827
1470,shine a little love,save a little love,86,8192
1471,i just fall in love again,do it all over again,71,2515
1472,shake it,shake it,100,8970
1473,i was made for lovin you,i was made for lovin you,100,602
1474,i just wanna stop,i just cant,71,7870
1475,disco nights rockfreak,some nights,55,8487
1476,ooo baby baby,baby boy,67,170
1477,september,september,100,1183
1478,time passages,messages,76,2882
1479,rise,rise,100,4334
1480,dont bring me down,dont let me down,76,4684
1481,promises,promise,93,13040
1482,get used to it,we used to wait,83,9504
1483,how much i feel,how u feelin,74,8014
1484,suspicions,superstition,64,6391
1485,you take my breath away,take me away,69,7209
1486,how you gonna see me now,how you like me now,74,7424
1487,double vision,double down,75,14898
1488,everytime i think of you,every time i look for you,78,14862
1489,i got my mind made up you can get it girl,got my name changed back,52,11982
1490,dont stop til you get enough,dont stop til you get enough  single version,78,2186
1491,bad case of loving you doctor doctor,ill be loving you forever,56,626
1492,somewhere in the night,somewhere in between,76,6778
1493,weve got tonight,weve got tonight,100,624
1494,dance the night away,rage the night away,87,17575
1495,dancin shoes,dancing shoes,96,4941
1496,the boss,the boss,100,6882
1497,sail on,sail on,100,4791
1498,i do love you,i love you,87,13961
1499,strange way,stranger,74,7336
1500,call me,call me,100,733
1501,another brick in the wall part ii,another brick in the wall pt 1,92,467
1502,magic,magic,100,1829
1503,rock with you,one with you,80,6612
1504,do that to me one more time,baby one more time,67,2344
1505,crazy little thing called love,i believe in a thing called love,71,1388
1506,coming up,come up,75,14232
1507,funkytown,unknown,75,18820
1508,its still rock and roll to me,its still rock and roll to me,100,821
1509,the rose,the promise,84,3324
1510,escape the pina colada song,escape the pina colada song,100,15993
1511,cars,cars,100,2775
1512,cruisin,cruise,77,1805
1513,working my way back to youforgive me girl,walking back to georgia,56,7787
1514,lost in love,lost in love,100,4365
1515,little jeannie,little lies,72,11015
1516,ride like the wind,i like the way,75,17481
1517,upside down,upside down,100,8576
1518,please dont go,please dont go,100,15825
1519,babe,bae,86,5551
1520,with you im born again,you win again,69,5042
1521,shining star,shining,74,8630
1522,still,still,100,16203
1523,yes im ready,es mi reina,70,3920
1524,sexy eyes,sleepy eyes,80,7874
1525,steal away,walk away,74,4399
1526,biggest part of me,best part of us,79,10769
1527,this is it,this is love,73,2535
1528,cupidive loved you for a long time,you give love a bad name,55,519
1529,lets get serious,lets get loud,76,215
1530,dont fall in love with a dreamer,fell in love with a girl,71,6310
1531,sailing,sing,73,16093
1532,longer,linger,83,1058
1533,coward of the county,caught up in the country,64,8845
1534,ladies night,last night,82,4786
1535,too hot,too hot,100,7255
1536,take your time do it right,take me home tonight,65,835
1537,no more tears enough is enough,aint no mountain high enough,59,2040
1538,more love,your love,78,791
1539,pop muzik,oxy music,56,4554
1540,brass in pocket,brass monkey,67,9086
1541,special lady,special affair,69,17706
1542,send one your love,ready for your love,76,12217
1543,the second time around,when i come around,70,943
1544,we dont talk anymore,i dont hurt anymore,77,16757
1545,heartache tonight,here tonight,83,6492
1546,stomp,stomp,100,16381
1547,tired of toein the line,the cog in the machine,67,14151
1548,better love next time,better in time,74,194
1549,him,hit,67,3017
1550,against the wind,leaf in the wind,75,4816
1551,on the radio,on the road,87,1831
1552,emotional rescue,emotional  draper remix,67,10072
1553,rise,rise,100,4334
1554,all out of love,all out of love,100,613
1555,cool change,people change,75,4923
1556,youre only lonely,only lonely,79,3209
1557,desire,desire,100,694
1558,let my love open the door,sleep on the floor,65,1505
1559,romeos tune,romeos tune,100,3960
1560,daydream believer,daydream believer,100,8251
1561,i cant tell you why,dying to tell you,67,11055
1562,dont let go,dont let me go,88,10107
1563,dont do me like that,need you like that,68,15826
1564,shes out of my life,best day of my life,74,12985
1565,fame,fame,100,15976
1566,fire lake,first take,74,3644
1567,how do i make you,no one like you,69,528
1568,into the night,of the night,85,9425
1569,let me love you tonight,let me love you,79,145
1570,misunderstanding,outstanding,67,11823
1571,an american dream,american dream,90,8319
1572,one fine day,one fine day,100,6865
1573,dim all the lights,all of the lights,80,7351
1574,you may be right,let you be right,75,12428
1575,hurt so bad,hurt somebody,75,18270
1576,shouldve never let you go,never let you go,78,5543
1577,pilot of the airwaves,out of the darkness,70,5805
1578,off the wall,on the ball,78,17153
1579,i pledge my love,wheres my love,67,1499
1580,the long run,the sound,67,2632
1581,stand by me,stand by me,100,2056
1582,heartbreaker,heartbreaker,100,316
1583,deja vu,deja vu,100,8632
1584,drivin my life away,ruin my life,71,7185
1585,take the long way home,long way home,74,3968
1586,sara,sakura,80,9821
1587,wait for me,wait for me,100,4001
1588,jojo,mojado,60,10484
1589,september morn,september,78,1183
1590,give me the night,live the night,84,15625
1591,broken hearted me,broken heart,83,1636
1592,you decorated my life,you were mine,65,5508
1593,tusk,lotus,67,4478
1594,i wanna be your lover,i wanna be your dog,85,345
1595,in america,judas in america,77,15286
1596,breakdown dead ahead,bravo de verdad,63,15329
1597,ships,starships,71,18102
1598,all night long,all night long,100,6693
1599,refugee,fugeela,71,9180
1600,bette davis eyes,better days,74,16887
1601,endless love,restless love,80,11531
1602,lady,lady,100,6712
1603,just like starting over,starting over,72,4771
1604,jessies girl,jessies girl,100,715
1605,celebration,elevation,80,14249
1606,kiss on my list,back on my sht,69,11827
1607,i love a rainy night,i love the rain the most,68,18594
1608,9 to 5,9 to 5,100,784
1609,keep on loving you,keep on loving you,100,6900
1610,theme from the greatest american hero believe it or not,theme from the steps of life,58,13347
1611,morning train nine to five,mountain to move,62,8261
1612,being with you,one with you,77,6612
1613,queen of hearts,queen of hearts,100,5411
1614,rapture,rapture,100,12848
1615,a woman needs love just like you do,a woman like you,63,4920
1616,the tide is high,the time is now,71,12836
1617,just the two of us,just the way you are,68,1936
1618,slow hand,slow hands,95,15887
1619,i love you,i love you,100,13961
1620,woman,woman,100,53
1621,sukiyaki,skyward ii,56,6129
1622,the winner takes it all,take it all,65,12874
1623,stars on 45 medley,thats on me,62,11819
1624,angel of the morning,in the morning,76,1145
1625,love on the rocks,love on the weekend,72,1509
1626,every woman in the world,woman of the world,76,1210
1627,the one that you love,the one that you love,100,630
1628,guilty,unity,73,864
1629,the best of times,the heart of me,75,9704
1630,elvira,elvira,100,5336
1631,take it on the run,blanket on the ground,77,5297
1632,theres no gettin over me,theres no gettin over me,100,5429
1633,living inside myself,love myself,65,4668
1634,woman in love,woman in love,100,639
1635,the boy from new york city,the boys are back in town,59,451
1636,urgent,rent,80,18528
1637,passion,pain,73,4569
1638,lady you bring me up,young lady youre scaring me,68,14985
1639,crying,crying,100,308
1640,hearts,heartsigh,80,2668
1641,its my turn,its yours,70,9119
1642,you make my dreams,you make my dreams,100,769
1643,i dont need you,i dont know you,80,3538
1644,how bout us,what about us,75,15833
